geneID,num_UJC,num_UJC_flag_analyzable,num_UJC_unbiased,num_UJC_F_limited,num_UJC_M_limited,num_UJC_F_bias,num_UJC_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0036415,12,2,1,0,0,0,1,1,1,138,142,1
FBgn0036416,3,1,0,0,0,0,0,1,1,7,38,1
FBgn0036417,7,1,0,0,0,0,0,1,1,70,48,1
FBgn0036419,6,1,1,0,0,0,0,1,1,131,253,1
FBgn0036421,3,0,0,0,0,0,0,1,1,6,7,1
FBgn0036422,3,2,1,0,0,0,1,1,1,10,152,1
FBgn0036423,10,0,0,0,0,0,0,1,1,29,40,1
FBgn0036426,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036427,2,0,0,0,0,0,0,0,1,0,5,0
FBgn0036428,514,12,11,0,0,1,0,1,1,8247,8307,1
FBgn0036433,549,16,16,0,0,0,0,1,1,9176,11348,1
FBgn0036436,7,2,2,0,0,0,0,1,1,157,208,1
FBgn0036437,8,1,0,0,0,0,0,1,1,31,46,1
FBgn0036438,1,0,0,0,0,0,0,0,1,0,8,0
FBgn0036439,1,0,0,0,0,0,0,0,1,0,1,0
FBgn0036440,3,0,0,0,0,0,0,0,1,0,11,1
FBgn0036441,1,0,0,0,0,0,0,0,1,0,1,0
FBgn0036443,1,0,0,0,0,0,0,1,1,5,6,1
FBgn0036446,75,3,2,0,0,0,1,1,1,773,1095,1
FBgn0036447,5,1,0,0,0,0,0,1,1,39,41,1
FBgn0036448,135,9,9,0,0,0,0,1,1,955,1265,1
FBgn0036449,344,11,5,0,0,6,0,1,1,4592,3277,1
FBgn0036450,30,3,3,0,0,0,0,1,1,262,309,1
FBgn0036451,128,3,3,0,0,0,0,1,1,1730,2544,1
FBgn0036454,480,8,7,0,0,0,1,1,1,6783,10500,1
FBgn0036460,39,3,0,0,0,3,0,1,1,1030,794,1
FBgn0036461,37,4,4,0,0,0,0,1,1,251,420,1
FBgn0036462,120,4,2,0,0,2,0,1,1,924,692,1
FBgn0036463,56,3,3,0,0,0,0,1,1,347,369,1
FBgn0036465,1,0,0,0,0,0,0,0,1,0,1,0
FBgn0036471,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036474,27,4,3,0,0,0,1,1,1,64,116,1
FBgn0036476,15,2,2,0,0,0,0,1,1,109,134,1
FBgn0036479,34,3,3,0,0,0,0,1,1,106,159,1
FBgn0036480,70,5,5,0,0,0,0,1,1,281,282,1
FBgn0036481,53,6,6,0,0,0,0,1,1,381,457,1
FBgn0036482,7,0,0,0,0,0,0,1,1,11,11,1
FBgn0036483,35,2,2,0,0,0,0,1,1,300,432,1
FBgn0036484,60,4,4,0,0,0,0,1,1,1492,1766,1
FBgn0036485,39,4,4,0,0,0,0,1,1,226,312,1
FBgn0036486,21,2,1,0,0,0,1,1,1,73,135,1
FBgn0036487,96,4,4,0,0,0,0,1,1,1083,1257,1
FBgn0036488,112,6,5,0,0,1,0,1,1,7807,8977,1
FBgn0036489,106,5,5,0,0,0,0,1,1,838,741,1
FBgn0036493,74,3,3,0,0,0,0,1,1,1345,1440,1
FBgn0036494,14,1,0,0,0,0,1,1,1,1144,2180,1
FBgn0036498,7,0,0,0,0,0,0,1,1,8,37,1
FBgn0036500,35,3,3,0,0,0,0,1,1,446,470,1
FBgn0036501,202,11,9,0,0,1,1,1,1,5717,7626,1
FBgn0036502,64,4,4,0,0,0,0,1,1,633,756,1
FBgn0036504,62,1,1,0,0,0,0,1,1,116,173,1
FBgn0036505,313,13,12,0,0,0,1,1,1,3363,4209,1
